eval/mean_ep_length,train/n_updates,train/learning_rate,train/std,train/clip_fraction,train/explained_variance,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/clip_range,eval/success_rate,time/total_timesteps,eval/mean_reward,train/loss,train/value_loss,reward/env_0,pose_reward/env_0,success_rate/env_0,distance_reward/env_0,reward/env_1,distance_reward/env_1,success_rate/env_1,pose_reward/env_1,distance_reward/env_2,reward/env_2,success_rate/env_2,pose_reward/env_2,reward/env_3,distance_reward/env_3,success_rate/env_3,pose_reward/env_3,pose_reward/env_4,distance_reward/env_4,reward/env_4,success_rate/env_4,pose_reward/env_5,reward/env_5,success_rate/env_5,distance_reward/env_5,pose_reward/env_6,success_rate/env_6,distance_reward/env_6,reward/env_6,success_rate/env_7,reward/env_7,distance_reward/env_7,pose_reward/env_7
102.0,10,0.0003,0.9910615086555481,0.02340087890625,3.0994415283203125e-06,-9.896899889409543,0.0041461075,-0.002057018651794351,0.2,0.0,24000,-2429.93346542,154532.421875,402013.07319335936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-19970.847851685532,-2041.0565388133796,0.0,-0.5997698008677329,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,-19160.58015645736,-1.6929629487801756,0.0,-1903.752063127443,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,-0.8594089732882384,-19221.33243347056,0.0,-1905.2109966051432,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,-21669.78847477245,-2.294141961162185,0.0,-2319.3522705009213,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2829.8546069296553,-2.7215094212847646,-24758.36669810567,0.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1693.4546319615426,-17919.069164699817,0.0,-1.4052288217585711,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2302.1289075952477,0.0,-1.491437825328955,-21555.632072523505,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-18807.225915556875,-1.6566175313894467,-1845.2293683947523
102.0,20,0.0003,0.9887385964393616,0.020574951171875,1.0192394256591797e-05,-9.85971105247736,0.0041342718,-0.001927503889055515,0.2,0.0,48000,-2057.6943534399993,243096.84375,437071.3464355469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30,0.0003,0.9836000800132751,0.01943359375,3.039836883544922e-06,-9.832627172768117,0.0043658335,-0.001850718416790187,0.2,,,,204296.296875,446922.7799316406,-24222.726235210317,-2755.1823102703543,0.0,-1.287062264707681,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,-21378.4763414689,-0.6775650587398422,0.0,-2278.416825186075,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,-2.24167778737119,-21180.32560634417,0.0,-2239.9942566033237,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,-22024.071147026647,-1.4838445984864899,0.0,-2389.0430132392858,,,,,,,,,,,,,,,,
